feature,accuracy,f1,mutual_information
nb_qm,0.6128279883381924,0.4018018018018018,0.053566638267124045
ratio_intMedia,0.6029154518950437,0.5944014294222751,0.07051036287791357
length_hostname,0.602332361516035,0.5667090216010165,0.062448761306639566
length_words_raw,0.5970845481049563,0.6787540678754068,0.04227074587583446
avg_words_raw,0.5970845481049563,0.5270362765229295,0.07397968846088965
prefix_suffix,0.5959183673469388,0.42105263157894735,0.021225563415032456
ratio_digits_host,0.5947521865889213,0.35348837209302325,0.052608695661993776
avg_word_host,0.5947521865889213,0.5675171126322339,0.07711532295242618
nb_hyphens,0.5871720116618075,0.4603658536585366,0.04390408907563392
length_url,0.5836734693877551,0.6786678667866787,0.0694892814637067
external_favicon,0.577259475218659,0.596100278551532,0.011682027115166083
domain_with_copyright,0.5755102040816327,0.5951056729699666,0.0067136912552401284
nb_extCSS,0.570262390670554,0.6349678058444774,0.007132488429163253
nb_and,0.5644314868804665,0.2462159434914228,0.02871228506344159
https_token,0.5603498542274052,0.6048218029350105,0.011728728998411153
longest_word_host,0.5591836734693878,0.5390243902439025,0.014589206897126283
empty_title,0.5551020408163265,0.27677725118483415,0.028942653551008002
nb_com,0.5527696793002915,0.2770970782280867,0.01803980644168446
nb_underscore,0.5463556851311954,0.2701688555347092,0.007583662796545321
tld_in_subdomain,0.5446064139941691,0.17702845100105374,0.02796532952123032
domain_in_brand,0.5346938775510204,0.6632911392405063,0.005460731861047563
nb_redirection,0.5265306122448979,0.5680851063829787,0.0006488193554117228
statistical_report,0.5265306122448979,0.11159737417943107,0.015480597082649483
nb_at,0.5247813411078717,0.09343715239154617,0.011702600470910207
nb_semicolumn,0.5230320699708455,0.08908685968819599,0.01467203069559364
abnormal_subdomain,0.521865889212828,0.09292035398230089,0.0023010648799686173
shortening_service,0.5201166180758018,0.23725671918443003,0.0005223511489396149
dns_record,0.5177842565597668,0.06764374295377677,0.000585345391042047
tld_in_path,0.5172011661807581,0.1375,0.00022365820713821094
whois_registered_domain,0.5166180758017492,0.1462409886714727,0.00676383141888115
random_domain,0.5160349854227405,0.15991902834008098,0.0004890817207729992
suspecious_tld,0.5125364431486881,0.05,0.014999722659249315
nb_colon,0.5119533527696793,0.052095130237825596,0.008638099867110949
http_in_path,0.5096209912536444,0.04323094425483504,0.00540009871747249
login_form,0.5078717201166181,0.6555102040816326,1.4895490542343737e-05
nb_dslash,0.5061224489795918,0.02306805074971165,0.0
brand_in_subdomain,0.5049562682215744,0.018497109826589597,0.0028405364825698776
popup_window,0.5037900874635568,0.6677079265911753,0.0
brand_in_path,0.5020408163265306,0.0069767441860465115,0.011065861598138715
port,0.5020408163265306,0.0069767441860465115,0.004515687197317986
nb_dollar,0.5014577259475219,0.004656577415599534,0.0
iframe,0.5008746355685131,0.6666666666666666,0.0
nb_external_redirection,0.5008746355685131,0.002331002331002331,0.0
nb_comma,0.5002915451895044,0.0,0.0
right_clic,0.5002915451895044,0.0,0.0014023022695779375
punycode,0.5002915451895044,0.0,0.009360599171118755
nb_star,0.5002915451895044,0.0,0.0009226787448461948
nb_or,0.49970845481049564,0.666407465007776,0.005769557765046063
nb_percent,0.49970845481049564,0.04666666666666667,0.0
nb_tilde,0.49970845481049564,0.01152073732718894,0.0
submit_email,0.49970845481049564,0.666407465007776,0.00472594990298969
path_extension,0.49970845481049564,0.666407465007776,0.0
ratio_nullHyperlinks,0.49970845481049564,0.666407465007776,0.0
ratio_intRedirection,0.49970845481049564,0.666407465007776,0.008623611094445316
sfh,0.49970845481049564,0.666407465007776,0.00033664174032987937
ratio_intErrors,0.49970845481049564,0.666407465007776,0.0
onmouseover,0.49912536443148686,0.6658887592376507,0.008213100090092018
nb_space,0.4967930029154519,0.031425364758698095,0.0022921956677697253
