dataset,seed,strategy,strength,injected_shap_rank,injected_reached_rank_1,n_features_after_injection,genuine_feature_rank_correlation,injected_mean_abs_shap,top_feature_after_injection,n_seeds_for_dataset,seed_policy_reason
uci,44,weak_proxy,0.5,3,False,31,0.9875417130144604,0.0414219257484759,url_of_anchor,5.0,"B4.2 reports a threshold, not a variance estimate; PhiUSIIL seeds 42-43 already agreed on the injected-feature rank, and each further PhiUSIIL seed costs ~2h of uncacheable SHAP. E2, where across-seed variance is the deliverable, ran all 5 seeds on every config."
uci,45,permuted_copy,,23,False,31,0.992880978865406,0.0034354416023512,url_of_anchor,5.0,"B4.2 reports a threshold, not a variance estimate; PhiUSIIL seeds 42-43 already agreed on the injected-feature rank, and each further PhiUSIIL seed costs ~2h of uncacheable SHAP. E2, where across-seed variance is the deliverable, ran all 5 seeds on every config."
uci,45,pure_noise,,13,False,31,0.9906562847608454,0.008474628352429,url_of_anchor,5.0,"B4.2 reports a threshold, not a variance estimate; PhiUSIIL seeds 42-43 already agreed on the injected-feature rank, and each further PhiUSIIL seed costs ~2h of uncacheable SHAP. E2, where across-seed variance is the deliverable, ran all 5 seeds on every config."
uci,45,weak_proxy,0.05,23,False,31,0.9937708565072304,0.0029674484503739,url_of_anchor,5.0,"B4.2 reports a threshold, not a variance estimate; PhiUSIIL seeds 42-43 already agreed on the injected-feature rank, and each further PhiUSIIL seed costs ~2h of uncacheable SHAP. E2, where across-seed variance is the deliverable, ran all 5 seeds on every config."
uci,45,weak_proxy,0.25,11,False,31,0.9937708565072304,0.0165553859825925,url_of_anchor,5.0,"B4.2 reports a threshold, not a variance estimate; PhiUSIIL seeds 42-43 already agreed on the injected-feature rank, and each further PhiUSIIL seed costs ~2h of uncacheable SHAP. E2, where across-seed variance is the deliverable, ran all 5 seeds on every config."
uci,45,weak_proxy,0.5,3,False,31,0.9839822024471636,0.0403212186398656,url_of_anchor,5.0,"B4.2 reports a threshold, not a variance estimate; PhiUSIIL seeds 42-43 already agreed on the injected-feature rank, and each further PhiUSIIL seed costs ~2h of uncacheable SHAP. E2, where across-seed variance is the deliverable, ran all 5 seeds on every config."
uci,46,permuted_copy,,25,False,31,0.9977753058954394,0.0032667420860785,sslfinal_state,5.0,"B4.2 reports a threshold, not a variance estimate; PhiUSIIL seeds 42-43 already agreed on the injected-feature rank, and each further PhiUSIIL seed costs ~2h of uncacheable SHAP. E2, where across-seed variance is the deliverable, ran all 5 seeds on every config."
uci,46,pure_noise,,14,False,31,0.9946607341490544,0.0097901834693019,sslfinal_state,5.0,"B4.2 reports a threshold, not a variance estimate; PhiUSIIL seeds 42-43 already agreed on the injected-feature rank, and each further PhiUSIIL seed costs ~2h of uncacheable SHAP. E2, where across-seed variance is the deliverable, ran all 5 seeds on every config."
uci,46,weak_proxy,0.05,20,False,31,0.9968854282536151,0.0056505667203789,sslfinal_state,5.0,"B4.2 reports a threshold, not a variance estimate; PhiUSIIL seeds 42-43 already agreed on the injected-feature rank, and each further PhiUSIIL seed costs ~2h of uncacheable SHAP. E2, where across-seed variance is the deliverable, ran all 5 seeds on every config."
uci,46,weak_proxy,0.25,8,False,31,0.9964404894327028,0.0204564878565964,sslfinal_state,5.0,"B4.2 reports a threshold, not a variance estimate; PhiUSIIL seeds 42-43 already agreed on the injected-feature rank, and each further PhiUSIIL seed costs ~2h of uncacheable SHAP. E2, where across-seed variance is the deliverable, ran all 5 seeds on every config."
uci,46,weak_proxy,0.5,3,False,31,0.9893214682981089,0.0451170896989888,sslfinal_state,5.0,"B4.2 reports a threshold, not a variance estimate; PhiUSIIL seeds 42-43 already agreed on the injected-feature rank, and each further PhiUSIIL seed costs ~2h of uncacheable SHAP. E2, where across-seed variance is the deliverable, ran all 5 seeds on every config."
