dataset,model,seed,k,top_k_features,full_accuracy,full_f1,full_mcc,full_roc_auc,sufficiency_accuracy,sufficiency_f1,sufficiency_mcc,sufficiency_roc_auc,comprehensiveness_accuracy,comprehensiveness_f1,comprehensiveness_mcc,performance_retained,performance_lost
phiusiil,ensemble,45,10,URLSimilarityIndex; LineOfCode; IsHTTPS; NoOfSelfRef; NoOfImage; NoOfExternalRef; NoOfOtherSpecialCharsInURL; NoOfSubDomain; LargestLineLength; LetterRatioInURL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.995772929728503,0.9950295226340194,0.9913595011423592,1.0,0.004227070271497
phiusiil,ensemble,46,3,URLSimilarityIndex; LineOfCode; IsHTTPS,0.9999716304008625,0.999966712160048,0.9999419962409096,1.0,0.9999716304008625,0.999966712160048,0.9999419962409096,0.9999989451851318,0.9981276064569208,0.997800586510264,0.9961724964582211,1.0,0.0018440239439416
phiusiil,ensemble,46,5,URLSimilarityIndex; LineOfCode; IsHTTPS; NoOfSelfRef; NoOfImage,0.9999716304008625,0.999966712160048,0.9999419962409096,1.0,0.9999716304008625,0.999966712160048,0.9999419962409096,0.9999998749361468,0.9974467360776192,0.9969977983854826,0.994783552878159,1.0,0.0025248943232432
phiusiil,ensemble,46,10,URLSimilarityIndex; LineOfCode; IsHTTPS; NoOfSelfRef; NoOfImage; NoOfOtherSpecialCharsInURL; NoOfExternalRef; NoOfSubDomain; HasSocialNet; LetterRatioInURL,0.9999716304008625,0.999966712160048,0.9999419962409096,1.0,0.9999716304008625,0.999966712160048,0.9999419962409096,1.0,0.9955176033362648,0.994730171436195,0.9908365115918324,1.0,0.0044540270645976
uci,ensemble,42,3,sslfinal_state; url_of_anchor; web_traffic,0.9758890898131404,0.9726027397260274,0.9511471651210708,0.997288482492564,0.9162145871006632,0.9047292666209732,0.8300406179978401,0.9717318962216922,0.9005424954792043,0.888135593220339,0.7986243736458304,0.938851142680667,0.0753465943339362
uci,ensemble,42,5,sslfinal_state; url_of_anchor; web_traffic; prefix_suffix; having_sub_domain,0.9758890898131404,0.9726027397260274,0.9511471651210708,0.997288482492564,0.9349005424954792,0.9276139410187668,0.8688034290051259,0.9833267073062992,0.8511151295961422,0.8302405498281787,0.6978013980439525,0.957998764669549,0.1247739602169982
uci,ensemble,42,10,sslfinal_state; url_of_anchor; web_traffic; prefix_suffix; having_sub_domain; links_in_tags; links_pointing_to_page; sfh; having_ip_address; request_url,0.9758890898131404,0.9726027397260274,0.9511471651210708,0.997288482492564,0.9493670886075948,0.9424657534246575,0.8973267590334776,0.9915510793061812,0.7474382157926461,0.7088255733148019,0.4863690894233048,0.9728227300802964,0.2284508740204943
uci,ensemble,43,3,sslfinal_state; url_of_anchor; links_in_tags,0.9680530440024112,0.963573883161512,0.935288168039103,0.9963939688429484,0.9101868595539482,0.8961672473867596,0.8178761093201655,0.9607488882999088,0.9065702230259192,0.8934707903780069,0.8104239900004157,0.9402241594022416,0.0614828209764918
uci,ensemble,43,5,sslfinal_state; url_of_anchor; links_in_tags; web_traffic; prefix_suffix,0.9680530440024112,0.963573883161512,0.935288168039103,0.9963939688429484,0.9168173598553344,0.9070080862533692,0.8318959932138694,0.9774420590747122,0.8378541289933695,0.8120195667365478,0.6704206958500227,0.9470734744707348,0.1301989150090415
uci,ensemble,43,10,sslfinal_state; url_of_anchor; links_in_tags; web_traffic; prefix_suffix; having_sub_domain; sfh; links_pointing_to_page; having_ip_address; request_url,0.9680530440024112,0.963573883161512,0.935288168039103,0.9963939688429484,0.9427365883062084,0.9343469246717346,0.8839457872185946,0.9901655034308094,0.7359855334538878,0.7016348773841962,0.4648802965898408,0.9738480697384808,0.2320675105485232
uci,ensemble,44,3,sslfinal_state; url_of_anchor; links_in_tags,0.972875226039783,0.9691569568197396,0.9450384095883618,0.9974121683305356,0.9234478601567208,0.9113747383112352,0.8449519775412384,0.9684012132991724,0.918625678119349,0.9082256968048946,0.8351348805154623,0.9491945477075588,0.054249547920434
uci,ensemble,44,5,sslfinal_state; url_of_anchor; links_in_tags; prefix_suffix; web_traffic,0.972875226039783,0.9691569568197396,0.9450384095883618,0.9974121683305356,0.9240506329113924,0.9139344262295082,0.845998059607509,0.9820405218364404,0.8481012658227848,0.8240223463687151,0.6913246335207015,0.949814126394052,0.1247739602169982
uci,ensemble,44,10,sslfinal_state; url_of_anchor; links_in_tags; prefix_suffix; web_traffic; having_sub_domain; sfh; links_pointing_to_page; having_ip_address; google_index,0.972875226039783,0.9691569568197396,0.9450384095883618,0.9974121683305356,0.9547920433996384,0.94824016563147,0.9084273414104108,0.9922504932709014,0.7359855334538878,0.6871428571428572,0.4614890848132713,0.9814126394052044,0.2368896925858952
uci,ensemble,45,3,url_of_anchor; sslfinal_state; prefix_suffix,0.9674502712477396,0.9632152588555858,0.934028955184299,0.9963534764555172,0.9077757685352622,0.8952772073921971,0.8129410817683584,0.9584562829460788,0.9005424954792043,0.8888888888888888,0.7990226982374521,0.9383177570093456,0.0669077757685353
uci,ensemble,45,5,url_of_anchor; sslfinal_state; prefix_suffix; web_traffic; links_in_tags,0.9674502712477396,0.9632152588555858,0.934028955184299,0.9963534764555172,0.918625678119349,0.9088453747467928,0.8354384874718863,0.9782320287422328,0.838456901748041,0.8131101813110181,0.671673643247891,0.9495327102803738,0.1289933694996986
uci,ensemble,45,10,url_of_anchor; sslfinal_state; prefix_suffix; web_traffic; links_in_tags; having_sub_domain; links_pointing_to_page; sfh; having_ip_address; request_url,0.9674502712477396,0.9632152588555858,0.934028955184299,0.9963534764555172,0.9463532248342374,0.939166097060834,0.8912222628052846,0.9901021880613716,0.7251356238698011,0.6586826347305389,0.4386033281951812,0.9781931464174454,0.2423146473779385
uci,ensemble,46,3,sslfinal_state; url_of_anchor; web_traffic,0.9686558167570826,0.9642857142857144,0.9365008139625643,0.9958410636982064,0.918625678119349,0.9067035245335175,0.8349135465288959,0.9714020673204344,0.8939119951778179,0.8814016172506739,0.7855663744169706,0.9483509645301804,0.0747438215792646
uci,ensemble,46,5,sslfinal_state; url_of_anchor; web_traffic; prefix_suffix; links_in_tags,0.9686558167570826,0.9642857142857144,0.9365008139625643,0.9958410636982064,0.9258589511754068,0.9169480081026332,0.85007417668583,0.9809037900874636,0.8396624472573839,0.8147632311977716,0.6741509547649888,0.955818294959552,0.1289933694996986
uci,ensemble,46,10,sslfinal_state; url_of_anchor; web_traffic; prefix_suffix; links_in_tags; having_sub_domain; links_pointing_to_page; sfh; having_ip_address; request_url,0.9686558167570826,0.9642857142857144,0.9365008139625643,0.9958410636982064,0.9451476793248944,0.938137321549966,0.8888689402791182,0.9900167859351532,0.731163351416516,0.6850282485875706,0.4521319713029195,0.9757311761045426,0.2374924653405665
