concept,status,uci_feature,phiusiil_source,rationale,caveat,rho_phiusiil,rho_uci,direction_agrees,polarity_status
,unmapped_phiusiil,,TLDLegitimateProb,no defensible UCI counterpart (UCI has no comparable page-content/URL-composition feature),,,,,
,unmapped_phiusiil,,URLCharProb,no defensible UCI counterpart (UCI has no comparable page-content/URL-composition feature),,,,,
,unmapped_phiusiil,,TLDLength,no defensible UCI counterpart (UCI has no comparable page-content/URL-composition feature),,,,,
,unmapped_phiusiil,,HasObfuscation,no defensible UCI counterpart (UCI has no comparable page-content/URL-composition feature),,,,,
,unmapped_phiusiil,,NoOfObfuscatedChar,no defensible UCI counterpart (UCI has no comparable page-content/URL-composition feature),,,,,
,unmapped_phiusiil,,ObfuscationRatio,no defensible UCI counterpart (UCI has no comparable page-content/URL-composition feature),,,,,
,unmapped_phiusiil,,NoOfLettersInURL,no defensible UCI counterpart (UCI has no comparable page-content/URL-composition feature),,,,,
,unmapped_phiusiil,,LetterRatioInURL,no defensible UCI counterpart (UCI has no comparable page-content/URL-composition feature),,,,,
,unmapped_phiusiil,,NoOfDegitsInURL,no defensible UCI counterpart (UCI has no comparable page-content/URL-composition feature),,,,,
,unmapped_phiusiil,,DegitRatioInURL,no defensible UCI counterpart (UCI has no comparable page-content/URL-composition feature),,,,,
,unmapped_phiusiil,,NoOfEqualsInURL,no defensible UCI counterpart (UCI has no comparable page-content/URL-composition feature),,,,,
,unmapped_phiusiil,,NoOfQMarkInURL,no defensible UCI counterpart (UCI has no comparable page-content/URL-composition feature),,,,,
,unmapped_phiusiil,,NoOfAmpersandInURL,no defensible UCI counterpart (UCI has no comparable page-content/URL-composition feature),,,,,
,unmapped_phiusiil,,NoOfOtherSpecialCharsInURL,no defensible UCI counterpart (UCI has no comparable page-content/URL-composition feature),,,,,
,unmapped_phiusiil,,SpacialCharRatioInURL,no defensible UCI counterpart (UCI has no comparable page-content/URL-composition feature),,,,,
,unmapped_phiusiil,,LineOfCode,no defensible UCI counterpart (UCI has no comparable page-content/URL-composition feature),,,,,
,unmapped_phiusiil,,LargestLineLength,no defensible UCI counterpart (UCI has no comparable page-content/URL-composition feature),,,,,
,unmapped_phiusiil,,HasTitle,no defensible UCI counterpart (UCI has no comparable page-content/URL-composition feature),,,,,
,unmapped_phiusiil,,DomainTitleMatchScore,no defensible UCI counterpart (UCI has no comparable page-content/URL-composition feature),,,,,
,unmapped_phiusiil,,URLTitleMatchScore,no defensible UCI counterpart (UCI has no comparable page-content/URL-composition feature),,,,,
,unmapped_phiusiil,,HasFavicon,no defensible UCI counterpart (UCI has no comparable page-content/URL-composition feature),,,,,
,unmapped_phiusiil,,Robots,no defensible UCI counterpart (UCI has no comparable page-content/URL-composition feature),,,,,
,unmapped_phiusiil,,IsResponsive,no defensible UCI counterpart (UCI has no comparable page-content/URL-composition feature),,,,,
,unmapped_phiusiil,,NoOfSelfRedirect,no defensible UCI counterpart (UCI has no comparable page-content/URL-composition feature),,,,,
,unmapped_phiusiil,,HasDescription,no defensible UCI counterpart (UCI has no comparable page-content/URL-composition feature),,,,,
,unmapped_phiusiil,,HasSocialNet,no defensible UCI counterpart (UCI has no comparable page-content/URL-composition feature),,,,,
,unmapped_phiusiil,,HasSubmitButton,no defensible UCI counterpart (UCI has no comparable page-content/URL-composition feature),,,,,
,unmapped_phiusiil,,HasHiddenFields,no defensible UCI counterpart (UCI has no comparable page-content/URL-composition feature),,,,,
,unmapped_phiusiil,,HasPasswordField,no defensible UCI counterpart (UCI has no comparable page-content/URL-composition feature),,,,,
,unmapped_phiusiil,,Bank,no defensible UCI counterpart (UCI has no comparable page-content/URL-composition feature),,,,,
,unmapped_phiusiil,,Pay,no defensible UCI counterpart (UCI has no comparable page-content/URL-composition feature),,,,,
,unmapped_phiusiil,,Crypto,no defensible UCI counterpart (UCI has no comparable page-content/URL-composition feature),,,,,
,unmapped_phiusiil,,HasCopyrightInfo,no defensible UCI counterpart (UCI has no comparable page-content/URL-composition feature),,,,,
,unmapped_phiusiil,,NoOfImage,no defensible UCI counterpart (UCI has no comparable page-content/URL-composition feature),,,,,
,unmapped_phiusiil,,NoOfCSS,no defensible UCI counterpart (UCI has no comparable page-content/URL-composition feature),,,,,
,unmapped_phiusiil,,NoOfJS,no defensible UCI counterpart (UCI has no comparable page-content/URL-composition feature),,,,,
