dataset,seed,strategy,strength,injected_shap_rank,injected_reached_rank_1,n_features_after_injection,genuine_feature_rank_correlation,injected_mean_abs_shap,top_feature_after_injection,n_seeds_for_dataset,seed_policy_reason
uci,44,weak_proxy,0.5,3,False,31,0.9875417130144604,0.041421925748475946,url_of_anchor,5.0,"B4.2 reports a threshold, not a variance estimate; PhiUSIIL seeds 42-43 already agreed on the injected-feature rank, and each further PhiUSIIL seed costs ~2h of uncacheable SHAP. E2, where across-seed variance is the deliverable, ran all 5 seeds on every config."
uci,45,permuted_copy,,23,False,31,0.992880978865406,0.003435441602351293,url_of_anchor,5.0,"B4.2 reports a threshold, not a variance estimate; PhiUSIIL seeds 42-43 already agreed on the injected-feature rank, and each further PhiUSIIL seed costs ~2h of uncacheable SHAP. E2, where across-seed variance is the deliverable, ran all 5 seeds on every config."
uci,45,pure_noise,,13,False,31,0.9906562847608454,0.008474628352429073,url_of_anchor,5.0,"B4.2 reports a threshold, not a variance estimate; PhiUSIIL seeds 42-43 already agreed on the injected-feature rank, and each further PhiUSIIL seed costs ~2h of uncacheable SHAP. E2, where across-seed variance is the deliverable, ran all 5 seeds on every config."
uci,45,weak_proxy,0.05,23,False,31,0.9937708565072303,0.0029674484503739427,url_of_anchor,5.0,"B4.2 reports a threshold, not a variance estimate; PhiUSIIL seeds 42-43 already agreed on the injected-feature rank, and each further PhiUSIIL seed costs ~2h of uncacheable SHAP. E2, where across-seed variance is the deliverable, ran all 5 seeds on every config."
uci,45,weak_proxy,0.25,11,False,31,0.9937708565072303,0.01655538598259252,url_of_anchor,5.0,"B4.2 reports a threshold, not a variance estimate; PhiUSIIL seeds 42-43 already agreed on the injected-feature rank, and each further PhiUSIIL seed costs ~2h of uncacheable SHAP. E2, where across-seed variance is the deliverable, ran all 5 seeds on every config."
uci,45,weak_proxy,0.5,3,False,31,0.9839822024471635,0.04032121863986568,url_of_anchor,5.0,"B4.2 reports a threshold, not a variance estimate; PhiUSIIL seeds 42-43 already agreed on the injected-feature rank, and each further PhiUSIIL seed costs ~2h of uncacheable SHAP. E2, where across-seed variance is the deliverable, ran all 5 seeds on every config."
uci,46,permuted_copy,,25,False,31,0.9977753058954394,0.003266742086078549,sslfinal_state,5.0,"B4.2 reports a threshold, not a variance estimate; PhiUSIIL seeds 42-43 already agreed on the injected-feature rank, and each further PhiUSIIL seed costs ~2h of uncacheable SHAP. E2, where across-seed variance is the deliverable, ran all 5 seeds on every config."
uci,46,pure_noise,,14,False,31,0.9946607341490545,0.009790183469301902,sslfinal_state,5.0,"B4.2 reports a threshold, not a variance estimate; PhiUSIIL seeds 42-43 already agreed on the injected-feature rank, and each further PhiUSIIL seed costs ~2h of uncacheable SHAP. E2, where across-seed variance is the deliverable, ran all 5 seeds on every config."
uci,46,weak_proxy,0.05,20,False,31,0.9968854282536151,0.005650566720378972,sslfinal_state,5.0,"B4.2 reports a threshold, not a variance estimate; PhiUSIIL seeds 42-43 already agreed on the injected-feature rank, and each further PhiUSIIL seed costs ~2h of uncacheable SHAP. E2, where across-seed variance is the deliverable, ran all 5 seeds on every config."
uci,46,weak_proxy,0.25,8,False,31,0.9964404894327029,0.020456487856596445,sslfinal_state,5.0,"B4.2 reports a threshold, not a variance estimate; PhiUSIIL seeds 42-43 already agreed on the injected-feature rank, and each further PhiUSIIL seed costs ~2h of uncacheable SHAP. E2, where across-seed variance is the deliverable, ran all 5 seeds on every config."
uci,46,weak_proxy,0.5,3,False,31,0.9893214682981089,0.045117089698988845,sslfinal_state,5.0,"B4.2 reports a threshold, not a variance estimate; PhiUSIIL seeds 42-43 already agreed on the injected-feature rank, and each further PhiUSIIL seed costs ~2h of uncacheable SHAP. E2, where across-seed variance is the deliverable, ran all 5 seeds on every config."
