config,dataset,seed,kendall_tau,tau_pvalue,jaccard_5,jaccard_10,jaccard_15,sign_agreement_top5,sign_agreement_top10,sign_agreement_top15,sign_agreement_weighted,sign_agreement_unfiltered,n_features_sign_top10,top1_half_a,top1_half_b,dedup,tau_pvalue_permutation,n_features,top1_agrees,n_features_sign_top5,n_features_sign_top15,direction_sign_agreement_top5,direction_n_features_sign_top5,direction_sign_agreement_top10,direction_n_features_sign_top10,direction_sign_agreement_top15,direction_n_features_sign_top15,direction_sign_agreement_weighted,direction_sign_agreement_unfiltered,directional_top5_rho03,n_meeting_rho_min_top5_rho03,directional_top5_rho05,n_meeting_rho_min_top5_rho05,directional_top10_rho03,n_meeting_rho_min_top10_rho03,directional_top10_rho05,n_meeting_rho_min_top10_rho05,directional_top15_rho03,n_meeting_rho_min_top15_rho03,directional_top15_rho05,n_meeting_rho_min_top15_rho05,direction_cancellation_ratio_a,direction_cancellation_ratio_b,tau_ci_lower,tau_ci_upper,half_a_fit_seconds,half_a_shap_seconds,half_a_n_train,half_a_n_explained,half_a_train_accuracy,half_b_fit_seconds,half_b_shap_seconds,half_b_n_train,half_b_n_explained,half_b_train_accuracy
phiusiil_full,phiusiil,42,0.9314285714285715,1.37026270120308e-21,1.0,0.8181818181818182,0.875,40.0,44.44444444444444,35.714285714285715,7.634694613507924,40.0,9,URLSimilarityIndex,URLSimilarityIndex,True,9.999000099990002e-05,50,True,5,14,100.0,5,100.0,9,100.0,14,99.99795736324909,98.0,100.0,5,100.0,5,90.0,9,80.0,8,93.33333333333333,14,80.0,12,0.08420060355806315,0.07990835781248225,0.8850933597002497,0.9684219720415681,13.84,0.01,117493,10000,1.0,14.23,0.01,117494,10000,1.0
phiusiil_full,phiusiil,43,0.9036734693877552,2.046284603194211e-20,1.0,0.6666666666666666,0.7647058823529411,20.0,25.0,30.76923076923077,5.30785086271903,36.0,8,URLSimilarityIndex,URLSimilarityIndex,True,9.999000099990002e-05,50,True,5,13,100.0,5,100.0,8,100.0,13,99.98782754357698,94.0,100.0,5,100.0,5,90.0,9,80.0,8,93.33333333333333,14,80.0,12,0.1305834126195976,0.11798074236960274,0.8517527796082461,0.9480801926298158,13.71,0.01,117493,10000,1.0,13.65,0.01,117494,10000,1.0
phiusiil_full,phiusiil,44,0.9183673469387756,4.939468442614902e-21,0.6666666666666666,0.8181818181818182,0.875,50.0,66.66666666666666,64.28571428571429,72.23943365455597,46.0,9,URLSimilarityIndex,URLSimilarityIndex,True,9.999000099990002e-05,50,True,4,14,100.0,4,100.0,9,100.0,14,99.9916243909653,98.0,100.0,5,100.0,5,90.0,9,80.0,8,93.33333333333333,14,80.0,12,0.06350853377337623,0.07438603608419045,0.8704265039994251,0.9551140820148798,13.8,0.01,117493,10000,1.0,14.07,0.01,117494,10000,1.0
phiusiil_full,phiusiil,45,0.9412244897959183,5.177190567377928e-22,1.0,1.0,0.875,60.0,50.0,42.857142857142854,42.0675337425363,62.0,10,URLSimilarityIndex,URLSimilarityIndex,True,9.999000099990002e-05,50,True,5,14,100.0,5,100.0,10,100.0,14,99.99916642799529,98.0,100.0,5,100.0,5,90.0,9,80.0,8,93.33333333333333,14,80.0,12,0.07171439561378479,0.08409568527870834,0.901255230125523,0.9716908469231823,13.86,0.01,117493,10000,1.0,13.78,0.01,117494,10000,1.0
phiusiil_full,phiusiil,46,0.9004081632653061,2.7978090888068634e-20,1.0,1.0,0.875,0.0,20.0,35.714285714285715,3.9997867434431775,34.0,10,URLSimilarityIndex,URLSimilarityIndex,True,9.999000099990002e-05,50,True,5,14,100.0,5,100.0,10,100.0,14,99.99832529999277,98.0,100.0,5,100.0,5,90.0,9,80.0,8,93.33333333333333,14,80.0,12,0.10525599442116092,0.08503823916966677,0.84039235798929,0.9434746467165421,15.1,0.01,117493,10000,1.0,14.66,0.01,117494,10000,1.0
phiusiil_leakfree,phiusiil,42,0.9301587301587303,1.441632038595328e-15,1.0,1.0,0.875,80.0,60.0,50.0,52.772660092861834,52.77777777777778,10,SpacialCharRatioInURL,URLLength,True,9.999000099990002e-05,36,False,5,14,100.0,5,100.0,10,100.0,14,99.87904212150931,97.22222222222221,80.0,4,80.0,4,90.0,9,80.0,8,86.66666666666667,13,80.0,12,0.09348137830334209,0.0798558620606399,0.8749594155844157,0.9705413016270338,8.8,0.01,117493,10000,0.9971998331815513,9.1,0.01,117494,10000,0.9971402795036343
phiusiil_leakfree,phiusiil,43,0.9142857142857144,4.30768089025764e-15,0.6666666666666666,0.8181818181818182,0.875,50.0,44.44444444444444,35.714285714285715,37.27898405167942,36.11111111111111,9,URLLength,URLLength,True,9.999000099990002e-05,36,True,4,14,100.0,4,100.0,9,100.0,14,99.85145024791666,97.22222222222221,80.0,4,80.0,4,90.0,9,80.0,8,86.66666666666667,13,80.0,12,0.12082640965551969,0.10257434463458422,0.8466557911908645,0.9604677561563536,9.09,0.01,117493,10000,0.9969700322572409,8.43,0.01,117494,10000,0.99714879057654
phiusiil_leakfree,phiusiil,44,0.9333333333333333,1.1556431321748694e-15,0.6666666666666666,1.0,0.875,100.0,80.0,64.28571428571429,74.18718513881385,66.66666666666666,10,URLLength,URLLength,True,9.999000099990002e-05,36,True,4,14,100.0,4,100.0,10,100.0,14,99.59799097273691,91.66666666666666,80.0,4,80.0,4,90.0,9,80.0,8,86.66666666666667,13,80.0,12,0.09703645048313472,0.10126412551812995,0.8829220624453801,0.973554810026457,8.45,0.01,117493,10000,0.9971402551641374,9.22,0.01,117494,10000,0.99714879057654
phiusiil_leakfree,phiusiil,45,0.9365079365079366,9.25710885668121e-16,1.0,0.8181818181818182,1.0,20.0,22.22222222222222,20.0,22.577019160444706,41.66666666666667,9,URLLength,URLLength,True,9.999000099990002e-05,36,True,5,15,100.0,5,100.0,9,100.0,15,99.99999999999999,100.0,80.0,4,80.0,4,90.0,9,80.0,8,86.66666666666667,13,80.0,12,0.08673375495496743,0.1269596108873021,0.8694889592596148,0.9803600654664486,8.26,0.01,117493,10000,0.9970040768386201,8.0,0.01,117494,10000,0.996927502680988
phiusiil_leakfree,phiusiil,46,0.9396825396825398,7.409847686336732e-16,1.0,1.0,0.875,60.0,50.0,50.0,48.84785627169115,47.22222222222222,10,URLLength,URLLength,True,9.999000099990002e-05,36,True,5,14,100.0,5,100.0,10,100.0,14,99.83628205034893,97.22222222222221,80.0,4,80.0,4,90.0,9,80.0,8,86.66666666666667,13,80.0,12,0.10702641314913919,0.048232690833049305,0.8923327895595432,0.9770491803278689,8.06,0.01,117493,10000,0.9969870545479305,7.91,0.01,117494,10000,0.9970636798474816
