dataset,feature,accuracy,precision,recall,f1,mutual_information
phiusiil,LetterRatioInURL,0.7343754432749865,0.8690320897469345,0.44351241595100194,0.587296689734209,0.37348018405318273
phiusiil,CharContinuationRate,0.7258645635337173,0.6883701307832935,0.6517542107715865,0.6695619464487228,0.15739487788697715
phiusiil,HasHiddenFields,0.7254390195466538,0.6221145495269004,0.9060648425537581,0.7377093609409724,0.14921205555433015
phiusiil,NoOfiFrame,0.7209282532837811,0.6111682964487906,0.9486718593968444,0.7434071523593395,0.16964596112153507
phiusiil,URLCharProb,0.717353683792448,0.7998577187574105,0.449104586911657,0.5752291622255382,0.12878880634461076
phiusiil,HasFavicon,0.7150557462623053,0.6113472638596805,0.9095932361360761,0.7312282579609313,0.14009728198321336
phiusiil,NoOfEmptyRef,0.7100059576158189,0.5984652632442857,0.9709073963118301,0.7404925107895405,0.16999955929608457
phiusiil,HasTitle,0.7099775880166813,0.9946391752577319,0.3211503894547633,0.4855316793316894,0.12666222016551965
phiusiil,TLDLegitimateProb,0.6909415869953758,0.7945753033547466,0.37054789960721657,0.5054027058930355,0.17961038661684636
phiusiil,DomainLength,0.6758205906550541,0.6966083150984683,0.4238732441248918,0.5270477215347047,0.09073329592006196
phiusiil,NoOfSubDomain,0.647706317909728,0.6504450352560398,0.3746088809000732,0.47541399121324773,0.07459207689225278
phiusiil,Robots,0.6388550029788079,0.5444284993988286,0.9344917116037548,0.6880207822762474,0.0838321538985789
phiusiil,Pay,0.6105421430395188,0.5241096401267947,0.9356234604886492,0.6718615546419352,0.07824855742555781
phiusiil,TLDLength,0.5999035433629323,0.8306916426512968,0.07675920378137274,0.1405326345298312,0.017347225167738456
phiusiil,NoOfQMarkInURL,0.5996765865698318,1.0,0.0605818520737634,0.11424267152093402,0.02160383771204577
phiusiil,NoOfEqualsInURL,0.5965559306646997,1.0,0.053258771053857935,0.10113140762277985,0.015115902526617209
phiusiil,NoOfSelfRedirect,0.583193849470907,0.6201607012417824,0.05652087078090673,0.10359975594874923,0.007324638498473979
phiusiil,NoOfAmpersandInURL,0.5774915600442566,1.0,0.008521403368617269,0.016898805201663477,0.0021572278228381148
phiusiil,IsDomainIP,0.5763851456778916,1.0,0.005925038279741695,0.011780277961614825,0.0
phiusiil,HasObfuscation,0.5756759056994525,1.0,0.0042607016843086345,0.008485250248591316,0.0
phiusiil,ObfuscationRatio,0.5756759056994525,1.0,0.0042607016843086345,0.008485250248591316,0.0
phiusiil,NoOfObfuscatedChar,0.5756759056994525,1.0,0.0042607016843086345,0.008485250248591316,0.002222571256405015
phiusiil,NoOfPopup,0.5738602513546484,0.0,0.0,0.0,0.027468810299665414
phiusiil,NoOfURLRedirect,0.5738602513546484,0.0,0.0,0.0,0.0012984307622909697
phiusiil,Bank,0.5738602513546484,0.0,0.0,0.0,0.021607888496418814
phiusiil,HasPasswordField,0.5738602513546484,0.0,0.0,0.0,0.01234179300807936
phiusiil,HasExternalFormSubmit,0.5738602513546484,0.0,0.0,0.0,0.02133415461824928
phiusiil,Crypto,0.5738602513546484,0.0,0.0,0.0,0.009131280352068671
uci,sslfinal_state,0.8735763097949886,0.9052132701421801,0.8432671081677704,0.8731428571428571,0.34477685899964094
uci,url_of_anchor,0.8154897494305239,0.9965870307167235,0.6445916114790287,0.7828418230563002,0.3104458656375795
uci,having_sub_domain,0.6845102505694761,0.6506849315068494,0.8388520971302428,0.7328833172613307,0.08062675460360591
uci,web_traffic,0.6674259681093394,0.6709129511677282,0.6975717439293598,0.683982683982684,0.058522520357888075
uci,prefix_suffix,0.6378132118451025,0.5875486381322957,1.0,0.7401960784313726,0.10492186166900708
uci,sfh,0.6150341685649203,0.58887171561051,0.8410596026490066,0.6927272727272727,0.046264865617591466
uci,links_in_tags,0.5968109339407744,0.6460176991150443,0.48344370860927155,0.553030303030303,0.03934090562270365
uci,request_url,0.591116173120729,0.6236842105263158,0.5231788079470199,0.5690276110444178,0.03264767911251609
uci,domain_registration_length,0.5842824601366743,0.6506849315068494,0.4194260485651214,0.5100671140939598,0.017979465883422696
uci,having_ip_address,0.571753986332574,0.5955334987593052,0.5298013245033113,0.5607476635514018,0.0
uci,links_pointing_to_page,0.5637813211845103,0.5708502024291497,0.6225165562913907,0.5955649419218585,0.005555321427292315
uci,google_index,0.5318906605922551,0.63125,0.2229580573951435,0.3295269168026101,0.0
uci,age_of_domain,0.5296127562642369,0.5444444444444444,0.5408388520971302,0.5426356589147286,0.009099551557868901
uci,abnormal_url,0.5296127562642369,0.5268817204301075,0.8653421633554084,0.6549707602339181,0.012994877738307542
uci,statistical_report,0.5250569476082004,0.6363636363636364,0.18543046357615894,0.28717948717948716,0.0
uci,url_length,0.5227790432801822,0.523876404494382,0.8233995584988962,0.640343347639485,0.0022584256010345083
uci,submitting_to_email,0.5159453302961275,0.5159453302961275,1.0,0.6806912096168295,0.0
uci,rightclick,0.5159453302961275,0.5159453302961275,1.0,0.6806912096168295,0.0
uci,port,0.5159453302961275,0.5159453302961275,1.0,0.6806912096168295,0.0
uci,having_at_symbol,0.5159453302961275,0.5159453302961275,1.0,0.6806912096168295,0.003754437604007732
uci,on_mouseover,0.5159453302961275,0.5159453302961275,1.0,0.6806912096168295,0.0023268620219252245
uci,redirect,0.5159453302961275,0.5159453302961275,1.0,0.6806912096168295,0.0038730072458668108
uci,dnsrecord,0.5159453302961275,0.5159453302961275,1.0,0.6806912096168295,0.0
uci,iframe,0.5125284738041003,0.5162548764629389,0.8763796909492274,0.6497545008183306,0.0
uci,page_rank,0.5056947608200456,0.5152979066022544,0.7064017660044151,0.595903165735568,0.019524909858106954
uci,https_token,0.5022779043280182,0.5109289617486339,0.82560706401766,0.6312236286919831,0.0
uci,shortining_service,0.5011389521640092,0.5099337748344371,0.8498896247240618,0.6374172185430463,0.0021099664075792113
uci,favicon,0.5011389521640092,0.5109170305676856,0.7748344370860927,0.6157894736842106,0.010622986724108996
uci,popupwindow,0.5011389521640092,0.5111441307578009,0.7593818984547461,0.61101243339254,0.0
uci,double_slash_redirecting,0.4920273348519362,0.5045751633986928,0.8520971302428256,0.6338259441707718,0.003993436329274402
